column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:AC003:LI085-RAW, AC#3 Comp6 Level From Nucleonic RAW, UNITS
PPO:AC003:LIC085-MODE, AC#3 Comp6 Level Controller Mode,  
PPO:AC003:LIC085-OP, AC#3 Comp6 Level Controller Output, %
PPO:AC003:LIC085-PV, AC#3 Comp6 Level Process Var, %
PPO:AC003:LIC085-SP, AC#3 Comp6 Level Setpoint, %
PPO:PV003:FIC141-MODE, AC#3 Quench Choke Flow Mode,  
PPO:PV003:FIC141-OP, AC#3 Quench Choke Flow Output, %
PPO:PV003:FIC141-PV, AC#3 Quench Choke Flow Meas, m3/h
PPO:PV003:FIC141-SP, AC#3 Quench Choke Flow Setpoint, m3/h
PPO:PV003:HIC141-FF, AC#3 Level Valve Cntrl via Choke H2O-Feedforward, m3/h
PPO:PV003:HIC141-MODE, AC#3 Level Valve Cntrl via Choke H2O-Mode,  
PPO:PV003:HIC141-OP, AC#3 Level Valve Cntrl via Choke H2O-Output, m3/h
PPO:PV003:HIC141-PV, AC#3 Level Valve Cntrl via Choke H2O-Meas, %
PPO:PV003:HIC141-SP, AC#3 Level Valve Cntrl via Choke H2O-Setpoint, %
PPO:PV003:PI141, AC#3 Choke Press., kPag
PPO:PV003:ZI141, AC#3 Letdown Valve, %
PPO:AC003:PI089, AC#3 Quench Flow Press., kPag
PPO:AC003-FI089, AC#3 Total Quench Water Flow, m3/h
PPO:AG031:FIC461-MODE, AC#3 Comp1a Quench Flow,  
PPO:AG031:FIC461-OP, AC#3 Comp1a Quench Flow, %
PPO:AG031:FIC461-PV, AC#3 Comp1a Quench Flow, m3/h
PPO:AG031:FIC461-SP, AC#3 Comp1a Quench Flow, m3/h
PPO:AG032:FIC462-MODE, AC#3 Comp1b Quench Flow,  
PPO:AG032:FIC462-OP, AC#3 Comp1b Quench Flow, %
PPO:AG032:FIC462-PV, AC#3 Comp1b Quench Flow, m3/h
PPO:AG032:FIC462-SP, AC#3 Comp1b Quench Flow, m3/h
PPO:AG033:FIC463-MODE, AC#3 Comp1c Quench Flow,  
PPO:AG033:FIC463-OP, AC#3 Comp1c Quench Flow, %
PPO:AG033:FIC463-PV, AC#3 Comp1c Quench Flow, m3/h
PPO:AG033:FIC463-SP, AC#3 Comp1c Quench Flow, m3/h
PPO:AG034:FIC464-MODE, AC#3 Comp2 Quench Flow,  
PPO:AG034:FIC464-OP, AC#3 Comp2 Quench Flow, %
PPO:AG034:FIC464-PV, AC#3 Comp2 Quench Flow, m3/h
PPO:AG034:FIC464-SP, AC#3 Comp2 Quench Flow, m3/h
PPO:AG035:FIC465-MODE, AC#3 Comp3 Quench Flow,  
PPO:AG035:FIC465-OP, AC#3 Comp3 Quench Flow, %
PPO:AG035:FIC465-PV, AC#3 Comp3 Quench Flow, m3/h
PPO:AG035:FIC465-SP, AC#3 Comp3 Quench Flow, m3/h
PPO:AG036:FIC466-MODE, AC#3 Comp4 Quench Flow,  
PPO:AG036:FIC466-OP, AC#3 Comp4 Quench Flow, %
PPO:AG036:FIC466-PV, AC#3 Comp4 Quench Flow, m3/h
PPO:AG036:FIC466-SP, AC#3 Comp4 Quench Flow, m3/h
PPO:AG037:FIC467-MODE, AC#3 Comp5 Quench Flow,  
PPO:AG037:FIC467-OP, AC#3 Comp5 Quench Flow, %
PPO:AG037:FIC467-PV, AC#3 Comp5 Quench Flow, m3/h
PPO:AG037:FIC467-SP, AC#3 Comp5 Quench Flow, m3/h
PPO:AG038:FIC468-MODE, AC#3 Comp6 Quench Flow,  
PPO:AG038:FIC468-OP, AC#3 Comp6 Quench Flow, %
PPO:AG038:FIC468-PV, AC#3 Comp6 Quench Flow, m3/h
PPO:AG038:FIC468-SP, AC#3 Comp6 Quench Flow, m3/h
PPO:AC003:FI088, AC#3 Oxygen Flow, m3/h
PPO:AC003:PI088, AC#3 O2_Header Press., kPag
PPO:AC003:WI088A, AC#3 Oxygen Mass Flow, kg/h
PPO:AC003_O2_S2_THEOR, AC#3 O2:S2 Theoretical Ratio, %
PPO:AG031:WIC471-MODE, AC#3 Comp1a Oxygen Flow,  
PPO:AG031:WIC471-OP, AC#3 Comp1a Oxygen Flow, %
PPO:AG031:WIC471-PV, AC#3 Comp1a Oxygen Flow, kg/h
PPO:AG031:WIC471-SP, AC#3 Comp1a Oxygen Flow, kg/h
PPO:AG032:WIC472-MODE, AC#3 Comp1b Oxygen Flow,  
PPO:AG032:WIC472-OP, AC#3 Comp1b Oxygen Flow, %
PPO:AG032:WIC472-PV, AC#3 Comp1b Oxygen Flow, kg/h
PPO:AG032:WIC472-SP, AC#3 Comp1b Oxygen Flow, kg/h
PPO:AG033:WIC473-MODE, AC#3 Comp1c Oxygen Flow,  
PPO:AG033:WIC473-OP, AC#3 Comp1c Oxygen Flow, %
PPO:AG033:WIC473-PV, AC#3 Comp1c Oxygen Flow, kg/h
PPO:AG033:WIC473-SP, AC#3 Comp1c Oxygen Flow, kg/h
PPO:AG034:WIC474-MODE, AC#3 Comp2 Oxygen Flow,  
PPO:AG034:WIC474-OP, AC#3 Comp2 Oxygen Flow, %
PPO:AG034:WIC474-PV, AC#3 Comp2 Oxygen Flow, kg/h
PPO:AG034:WIC474-SP, AC#3 Comp2 Oxygen Flow, kg/h
PPO:AG035:WIC475-MODE, AC#3 Comp3 Oxygen Flow,  
PPO:AG035:WIC475-OP, AC#3 Comp3 Oxygen Flow, %
PPO:AG035:WIC475-PV, AC#3 Comp3 Oxygen Flow, kg/h
PPO:AG035:WIC475-SP, AC#3 Comp3 Oxygen Flow, kg/h
PPO:AG036:FI476, AC#3 Comp4 Oxygen Flow, m3/h
PPO:AG036:WIC476-MODE, AC#3 Comp4 Oxygen Flow,  
PPO:AG036:WIC476-OP, AC#3 Comp4 Oxygen Flow, %
PPO:AG036:WIC476-PV, AC#3 Comp4 Oxygen Flow, kg/h
PPO:AG036:WIC476-SP, AC#3 Comp4 Oxygen Flow, kg/h
PPO:AG037:WIC477-MODE, AC#3 Comp5 Oxygen Flow,  
PPO:AG037:WIC477-OP, AC#3 Comp5 Oxygen Flow, %
PPO:AG037:WIC477-PV, AC#3 Comp5 Oxygen Flow, kg/h
PPO:AG037:WIC477-SP, AC#3 Comp5 Oxygen Flow, kg/h
PPO:AG038:WIC478-MODE, AC#3 Comp6 Oxygen Flow,  
PPO:AG038:WIC478-OP, AC#3 Comp6 Oxygen Flow, %
PPO:AG038:WIC478-PV, AC#3 Comp6 Oxygen Flow, kg/h
PPO:AG038:WIC478-SP, AC#3 Comp6 Oxygen Flow, kg/h
PPO:T-AC003:WQ088, AC#3 Total O2 Flow, tonnes
PPO:WC003:WC003, AC#3 O2 Distribution Output, %
PPO:WC003:WX003-TOT, AC#3 O2 Total Oxygen Setpoint, %
PPO:AC003_%S2_IN_ACF, AC#3 %S2 in ACF, %
PPO:L-ACD3_As_12HR, AC#3 Disch As 12hrly, ppm
PPO:L-ACD3_As_12HR_SQL, AC#3 Disch As 12hrly, ppm
PPO:L-ACD3_AU_12HR, AC#3 Disch Au 12hrly, ppm
PPO:L-ACD3_AU_12HR_SQL, AC#3 Disch Au 12hrly, ppm
PPO:L-ACD3_CL_12HR, AC#3 Disch Cl 12hrly, ppm
PPO:L-ACD3_CL_12HR_SQL, AC#3 Disch Cl 12hrly, ppm
PPO:L-ACD3_FE2_12HR, AC#3 Disch Fe2 12hrly, g/l
PPO:L-ACD3_FE2_12HR_SQL, AC#3 Disch Fe2 12hrly, g/l
PPO:L-ACD3_FE2_2HR, AC#3 Disch Fe3 2hrly, g/l
PPO:L-ACD3_FE3_12HR, AC#3 Disch Fe3 12hrly, g/l
PPO:L-ACD3_FE3_12HR_SQL, AC#3 Disch Fe3 12hrly, g/l
PPO:L-ACD3_FE3_2HR, AC#3 Disch Fe3 2hrly, g/l
PPO:L-ACD3_H2SO4_12HR, AC#3 Disch H2SO4 12hrly, g/l
PPO:L-ACD3_H2SO4_12HR_SQL, AC#3 Disch H2SO4 12hrly, g/l
PPO:L-ACD3_H2SO4_3HR, AC3 disch H2SO4 3Hrly, g/l
PPO:L-ACD3_H2SO4_3HR_SQL, AC3 disch H2SO4 3Hrly, g/l
PPO:L-ACD3_ORP_12HR, AC#3 Disch ORP 12hrly, mV
PPO:L-ACD3_ORP_12HR_SQL, AC#3 Disch ORP 12hrly, mV
PPO:L-ACD3_ORP_3HR, AC#3 Disch ORP (mV), mV
PPO:L-ACD3_ORP_3HR_SQL, AC#3 Disch ORP (mV), mV
PPO:L-ACD3_PH_12HR, AC#3 Disch pH 12hrly, pH
PPO:L-ACD3_PH_12HR_SQL, AC#3 Disch pH 12hrly, pH
PPO:L-ACD3_R_S2_12HR, AC#3 Disch S2 12hrly Dup, %
PPO:L-ACD3_R_S2_12HR_SQL, AC#3 Disch S2 12hrly Dup, %
PPO:L-ACD3_R2_S2_12HR, AC#3 Disch S2 12hrly Dup, %
PPO:L-ACD3_R3_S2_12HR, AC#3 Disch S2 12hrly, %
PPO:L-ACD3_RS_12HR_SQL, AC#3 Disch Reactive Sulphur 12hrly, %
PPO:L-ACD3_RS_3HR_SQL, AC#3 Disch Reactive Sulphur 3hrly, %
PPO:L-ACD3_S2_12HR, AC#3 Disch S2 12hrly, %
PPO:L-ACD3_S2_12HR_SQL, AC#3 Disch S2 12hrly, %
PPO:L-ACD3_S2_2HR, AC#3 Disch S2 2hrly, %
PPO:L-ACD3_S2_2HR_SQL, AC#3 Disch S2 2hrly, %
PPO:PV003:AI133, AC#3 Disch ORP, mV
PPO:PU035:FI063, AC#3 Fd_Pmp1 Flow, m3/h
PPO:PU035:PI063, AC#3 Fd_Pmp1 Suct Press., kPag
PPO:PU035:SI063, AC#3 Fd_Pmp1 Speed, %
PPO:PU035:SIC063-BIAS, AC#3 Fd_Pmp1 Spd Ctrl, %
PPO:PU035:SIC063-MODE, AC#3 Fd_Pmp1 Spd Ctrl,  
PPO:PU035:SIC063-OP, AC#3 Fd_Pmp1 Spd Ctrl, %
PPO:PU035:SIC063-PV, AC#3 Fd_Pmp1 Spd Ctrl, %
PPO:PU035:UI063, AC#3 Fd_Pmp1 Vol. Flow Eff., %
PPO:PU035:WI063, AC#3 Fd_Pmp1 Mass_Flow, t/h
PPO:PU035A-AMPS, AC#3 Fd_Pmp1 LO_Pmp, Amps
PPO:PU035-AMPS, AC#3 Fd_Pmp1 Amps, Amps
PPO:PU035A-STAT, AC#3 Fd_Pmp1 LO_Pmp,  
PPO:PU035B-AMPS, AC#3 Fd_Pmp1 Prop.Liquid_Pmp, Amps
PPO:PU035B-STAT, AC#3 Fd_Pmp1 Prop_Liq_Pmp,  
PPO:PU035-SPD, AC#3 Fd_Pmp1 Speed, %
PPO:PU803:FI893, AC#3 Fd_Pmp2 Flow, m3/h
PPO:PU803:FI893_Check, AC#3 Fd_Pmp2 Flow, m3/h
PPO:PU803:PI893, AC#3 Fd_Pmp2 Suct Press., kPag
PPO:PU803:PI893A, AC#3 Fd_Pmp2 Propel Liq Press, kPag
PPO:PU803:PI893B, AC#3 Fd_Pmp2 Dischag Press, kPag
PPO:PU803:SI893A, AC#3 Fd_Pmp2 Actual Speed, spm
PPO:PU803:SI893Z, AC#3 Fd_Pmp2 Speed, spm
PPO:PU803:SIC893-BIAS, AC#3 Fd_Pmp2 Spd Ctrl, %
PPO:PU803:SIC893-MODE, AC#3 Fd_Pmp2 Spd Ctrl,  
PPO:PU803:SIC893-OP, AC#3 Fd_Pmp2 Spd Ctrl, %
PPO:PU803:SIC893-PV, AC#3 Fd_Pmp2 Spd Ctrl, %
PPO:PU803:UI893, AC#3 Fd_Pmp2 Vol. Flow Eff., %
PPO:PU803:WI893, AC#3 Fd_Pmp2 Mass_Flow, t/h
PPO:PU803A-AMPS, AC#3 Fd_Pmp2 LO_Pmp, Amps
PPO:PU803-AMPS, AC#3 Fd_Pmp2 Amps, Amps
PPO:PU803A-STAT, AC#3 Fd_Pmp2 LO_Pmp,  
PPO:PU803B-AMPS, AC#3 Fd_Pmp2 Prop_Liq Pmp, Amps
PPO:PU803B-STAT, AC#3 Fd_Pmp2 Prop_Liq Pmp,  
PPO:PU803-SPD, AC#3 Fd_Pmp2 Speed, %
PPO:PU803-THEOR_FLOW, PU803 Theoretical Flow, m3/h
PPO:T-PU035:WQ063, AC#3 Fd_Pmp1 Tot Mass_Flow, tonnes
PPO:T-PU803:WQ893, AC#3 Fd_Pmp2 Tot Mass_Flow, tonnes
PPO:PV003:PI142, AC#3 Flash_Vsl Press., kPag
PPO:PV003:LI142, AC#3 Flash_Vsl Level, %
PPO:AC003:HV142A, PV003 Autoclave DISCHARGE FLASH VESSEL Vlv 1a,  
PPO:AC003:HV142B, PV003 Autoclave DISCHARGE FLASH VESSEL Vlv 1a,  
PPO:Autoclave4_Rate_RawFeed-PPMS, PPMS Autoclave 4 Rate (Raw Feed), tph
PPO:PV2016:FIT7124, SR2004 FLASH SCRUBBER VESSEL, m3/h
PPO:Autoclave4_Rate_Target-PPMS, PPMS Autoclave 4 Rate Target, tph
PPO:PV2016-FI7124, SEA WATER FLOW TO SR2004, m3/h
PPO:Autoclave4_Util-PPMS, PPMS Autoclave 4 Utilization Trigger,  
PPO:T-PU2034:WI706X_ACC, AC#4 Total Mass Flow, tonnes
PPO:PV2017:FIT7134, SR2005 FLASH SCRUBBER VESSEL, m3/h
PPO:AC2004:FIT7065, AC2004 Autoclave No. 4, Am3/h
PPO:AC2004:FS7065B, AC2004 Autoclave No. 4,  
PPO:SR2005:PIC7134-MODE, SCRUBBER 2 PRESSURE CONTROLLER MODE,  
PPO:AC4_Control_Mode, AC 4 Automation Percentage, %
PPO:SR2005:PIC7134-OP, SCRUBBER 2 PRESSURE CONTROLLER OUTPUT, %
PPO:SR2005:PIC7134-PV, SCRUBBER 2 PRESSURE CONTROLLER INPUT, kPag
PPO:SR2005:PIC7134-SP, SCRUBBER 2 PRESSURE CONTROLLER SETPOINT, kPag
PPO:AC2004:HV7122A_PV, AC#4 Slurry DsChg Vlv1a Open/Close Position InDi, %
PPO:SR2004:PIC7124-MODE, SCRUBBER 1 PRESSURE CONTROLLER MODE,  
PPO:AC2004:HV7122A_SV, AC#4 Slurry DsChg Vlv1a Open/Close Differential Pres, psi
PPO:SR2004:PIC7124-OP, SCRUBBER 1 PRESSURE CONTROLLER OUTPUT, %
PPO:AC2004:HV7122A_ZI, AC#4 Slurry DsChg Vlv1a Open/Close Position FdBk, %
PPO:SR2004:PIC7124-PV, SCRUBBER 1 PRESSURE CONTROLLER INPUT, kPag
PPO:AC2004:HV7209A_PV, AC#4 Slurry Fd Vlv1a Open/Close Position InDi, %
PPO:SR2004:PIC7124-SP, SCRUBBER 1 PRESSURE CONTROLLER SETPOINT, kPag
PPO:AC2004:HV7209A_SV, AC#4 Slurry Fd Vlv1a Open/Close Differential Pres, psi
PPO:AC2004:HV7209A_ZI, AC#4 Slurry Fd Vlv1a Open/Close Position FdBk, %
PPO:PV2004-PI7121, DISCH CHOKE PRES TO PV2004, kPag
PPO:AC2004:HV7122B_PV, AC#4 Slurry DsChg Vlv1b Open/Close Position InDi, %
PPO:PV2004-TI7121, DISCH SL TEMP TO PV2004, DegC
PPO:AC2004:HV7122B_SV, AC#4 Slurry DsChg Vlv1b Open/Close Differential Pres, psi
PPO:PV2005-PI7131, DISCH CHOKE PRES TO PV2005, kPag
PPO:AC2004:HV7122B_ZI, AC#4 Slurry DsChg Vlv1b Open/Close Position FdBk, %
PPO:PV2005-TI7131, DISCH SL TEMP TO PV2005, DegC
PPO:AC2004:HV7209B_PV, AC#4 Slurry Fd Vlv1b Open/Close Position InDi, %
PPO:AC2004:HV7209B_SV, AC#4 Slurry Fd Vlv1b Open/Close Differential Pres, psi
PPO:AC2004:HV7209B_ZI, AC#4 Slurry Fd Vlv1b Open/Close Position FdBk, %
PPO:AC2004:HV7132A_PV, AC#4 Slurry DsChg Vlv2a Open/Close Position InDi, %
PPO:AC2004:HV7132A_SV, AC#4 Slurry DsChg Vlv2a Open/Close Differential Pres, psi
PPO:AC2004:HV7132A_ZI, AC#4 Slurry DsChg Vlv2a Open/Close Position FdBk, %
PPO:AC2004:HV7239A_PV, AC#4 Slurry Fd Vlv2a Open/Close Position InDi, %
PPO:AC2004:HV7239A_SV, AC#4 Slurry Fd Vlv2a Open/Close Differential Pres, psi
PPO:AC2004:HV7239A_ZI, AC#4 Slurry Fd Vlv2a Open/Close Position FdBk, %
PPO:AC2004:HV7132B_PV, AC#4 Slurry DsChg Vlv2b Open/Close Position InDi, %
PPO:AC2004:HV7132B_SV, AC#4 Slurry DsChg Vlv2b Open/Close Differential Pres, psi
PPO:AC2004:HV7132B_ZI, AC#4 Slurry DsChg Vlv2b Open/Close Position FdBk, %
PPO:AC2004:HV7239B_PV, AC#4 Slurry Fd Vlv2b Open/Close Position InDi, %
PPO:AC2004:HV7239B_SV, AC#4 Slurry Fd Vlv2b Open/Close Differential Pres, psi
PPO:AC2004:HV7239B_ZI, AC#4 Slurry Fd Vlv2b Open/Close Position FdBk, %
PPO:AC4_1A:HV7201A, AC#4 Compartment 1A,  
PPO:AC4_1A:HV7201B, AC#4 Compartment 1A,  
PPO:AC4_1B:HV7202A, AC#4 Compartment 1B,  
PPO:AC4_1B:HV7202B, AC#4 Compartment 1B,  
PPO:AC4_1C:HV7203A, AC#4 Compartment 1C,  
PPO:AC4_1C:HV7203B, AC#4 Compartment 1C,  
PPO:AC4_2:HV7204A, AC#4 Compartment 2,  
PPO:AC4_2:HV7204B, AC#4 Compartment 2,  
PPO:AC4_3:HV7205A, AC#4 Compartment 3,  
PPO:AC4_3:HV7205B, AC#4 Compartment 3,  
PPO:AC4_4:HV7206A, AC#4 Compartment 4,  
PPO:AC4_4:HV7206B, AC#4 Compartment 4,  
PPO:AC4_5:HV7207A, AC#4 Compartment 5,  
PPO:AC4_5:HV7207B, AC#4 Compartment 5,  
PPO:AC4_6:HV7208A, AC#4 Compartment 6,  
PPO:AC4_6:HV7208B, AC#4 Compartment 6,  
PPO:AC2004:HV7209A, AC#4 SLURRY FEED,  
PPO:AC2004:HV7209B, AC#4 SLURRY FEED,  
PPO:AC2004:HV7239A, AC#4 SLURRY FEED,  
PPO:AC2004:HV7239B, AC#4 SLURRY FEED,  
PPO:AC2004:AG2241-OUT, AC2004  AGIT POWER CONTROL O/PUT, %
PPO:AC2004:AG2241-PV, AC2004  AGIT POWER CONTROL, kW
PPO:AC2004:AG2241-SPT, AC2004  AGIT POWER CONTROL SPT, kW
PPO:AG2241:AG2241-PWR, AG2241 Power, kW
PPO:AG2241:AG2241-RPM, AG2241 Impeller Speed RPM , rpm
PPO:AG2241:IIC7201-MODE, AC#4 CP1A Agitator Current Ctrl Mode, %
PPO:AG2241:IIC7201-OP, AC#4 CP1A Agitator Current Ctrl Output, %
PPO:AG2241:IIC7201-PV, AC#4 CP1A Agitator Current Ctrl Input,  
PPO:AG2241:IIC7201-SP, AC#4 CP1A Agitator Current Ctrl SP, %
PPO:AG2241:JIC7201-OP, AG2241 Power Controller Output, %
PPO:AG2241:JIC7201-PV, AG2241 Power Controller Process Variable, kW
PPO:AG2241:JIC7201-SP, AG2241 Power Controller Setpoint, kW
PPO:AG2241_PWR, AC#4 CP1A Agitator Pwr, kW
PPO:AG2241-AMPS, AC#4 CP1A Agitator Motor % Current, %
PPO:AG2241-AMPS (A), AC#4 CP1A Agitator Motor Current, Amps
PPO:AG2242:AG2242-PWR, AG2242 Power, kW
PPO:AG2242:AG2242-RPM, AG2242 Impeller Speed RPM , rpm
PPO:AG2242:IIC7202-MODE, AC#4 CP1B Agitator Current Ctrl Mode, %
PPO:AG2242:IIC7202-OP, AC#4 CP1B Agitator Current Ctrl Output, %
PPO:AG2242:IIC7202-PV, AC#4 CP1B Agitator Current Ctrl Input,  
PPO:AG2242:IIC7202-SP, AC#4 CP1B Agitator Current Ctrl SP, %
PPO:AG2242:JIC7202-OP, AG2242 Power Controller Output, %
PPO:AG2242:JIC7202-PV, AG2242 Power Controller Process Variable, kW
PPO:AG2242:JIC7202-SP, AG2242 Power Controller Setpoint, kW
PPO:AG2242_PWR, AC#4 CP1B Agitator Pwr, kW
PPO:AG2242-AMPS, AC#4 CP1B Agitator Motor % Current, %
PPO:AG2242-AMPS (A), AC#4 CP1B Agitator Motor Current, Amps
PPO:AG2243:AG2243-PWR, AG2243 Power, kW
PPO:AG2243:AG2243-RPM, AG2243 Impeller Speed RPM , rpm
PPO:AG2243:IIC7203-MODE, AC#4 CP1C Agitator Current Ctrl Mode, %
PPO:AG2243:IIC7203-OP, AC#4 CP1C Agitator Current Ctrl Output, %
PPO:AG2243:IIC7203-PV, AC#4 CP1C Agitator Current Ctrl Input,  
PPO:AG2243:IIC7203-SP, AC#4 CP1C Agitator Current Ctrl SP, %
PPO:AG2243:JIC7203-OP, AG2243 Power Controller Output, %
PPO:AG2243:JIC7203-PV, AG2243 Power Controller Process Variable, kW
PPO:AG2243:JIC7203-SP, AG2243 Power Controller Setpoint, kW
PPO:AG2243_PWR, AC#4 CP1C Agitator Pwr, kW
PPO:AG2243-AMPS, AC#4 CP1C Agitator Motor % Current, %
PPO:AG2243-AMPS (A), AC#4 CP1C Agitator Motor Current, Amps
PPO:AG2244:AG2244-PWR, AG2244 Power, kW
PPO:AG2244:AG2244-RPM, AG2244 Impeller Speed RPM , rpm
PPO:AG2244:IIC7204-MODE, AC#4 CP2 Agitator Current Ctrl Mode, %
PPO:AG2244:IIC7204-OP, AC#4 CP2 Agitator Current Ctrl Output, %
PPO:AG2244:IIC7204-PV, AC#4 CP2 Agitator Current Ctrl Input,  
PPO:AG2244:IIC7204-SP, AC#4 CP2 Agitator Current Ctrl SP, %
PPO:AG2244:JIC7204-OP, AG2244 Power Controller Output, %
PPO:AG2244:JIC7204-PV, AG2244 Power Controller Process Variable, kW
PPO:AG2244:JIC7204-SP, AG2244 Power Controller Setpoint, kW
PPO:AG2244-AMPS, AC#4 CP2 Agitator Motor % Current, %
PPO:AG2244-AMPS (A), AC#4 CP2 Agitator Motor Current, Amps
PPO:AG2244-PWR, AC#4 CP2 Agitator Pwr, kW
PPO:AG2245:AG2245-PWR, AG2245 Power, kW
PPO:AG2245:AG2245-RPM, AG2245 Impeller Speed RPM , rpm
PPO:AG2245:IIC7205-MODE, AC#4 CP3 Agitator Current Ctrl Mode, %
PPO:AG2245:IIC7205-OP, AC#4 CP3 Agitator Current Ctrl Output, %
PPO:AG2245:IIC7205-PV, AC#4 CP3 Agitator Current Ctrl Input,  
PPO:AG2245:IIC7205-SP, AC#4 CP3 Agitator Current Ctrl SP, %
PPO:AG2245:JIC7205-OP, AG2245 Power Controller Output, %
PPO:AG2245:JIC7205-PV, AG2245 Power Controller Process Variable, kW
PPO:AG2245:JIC7205-SP, AG2245 Power Controller Setpoint, kW
PPO:AG2245_PWR, AC#4 CP3 Agitator Pwr, kW
PPO:AG2245-AMPS, AC#4 CP3 Agitator Motor % Current, %
PPO:AG2245-AMPS (A), AC#4 CP3 Agitator Motor Current, Amps
PPO:AG2246_PWR, AC#4 CP4 Agitator Pwr, kW
PPO:AG2246-AMPS, AC#4 CP4 Agitator Mtr Current, Amps
PPO:AG2247_PWR, AC#4 CP5 Agitator Pwr, kW
PPO:AG2247-AMPS, AC#4 CP5 Agitator Mtr Current, Amps
PPO:AG2248_PWR, AC#4 CP6 Agitator Pwr, kW
PPO:AG2248-AMPS, AC#4 CP6 Agitator Mtr Current, Amps
PPO:JIC7201-OP, AG2241 Power Controller Output, %
PPO:AC4:AVEG-TEMP, AC#4 Avg Temp, DegC
PPO:AC4_1A:TIC7201-PV, AC#4 CP1A Temp, DegC
PPO:AC4_1B:TIC7202-PV, AC#4 CP1B Temp, DegC
PPO:AC4_1C:TIC7203-PV, AC#4 CP1C Temp, DegC
PPO:AC4_2:TIC7204-PV, AC#4 CP2 Temp, DegC
PPO:AC4_3:TIC7205-PV, AC#4 CP3 Temp, DegC
PPO:AC4_4:TIC7206-PV, AC#4 CP4 Temp, DegC
PPO:AC4_5:TIC7207-PV, AC#4 CP5 Temp, DegC
PPO:AC4_6:TIC7208-PV, AC#4 CP6 Temp, DegC
PPO:AC4_1A:TIC7201-MODE, AC#4 CP1A Temp Ctrl Mode,  
PPO:AC4_1A:TIC7201-OP, AC#4 CP1A Temp Ctrl Output, %
PPO:AC4_1A:TIC7201-SP, AC#4 CP1A Temp Ctrl SP, DegC
PPO:AC4_1B:TIC7202-MODE, AC#4 CP1B Temp Ctrl Mode,  
PPO:AC4_1B:TIC7202-OP, AC#4 CP1B Temp Ctrl Output, %
PPO:AC4_1B:TIC7202-SP, AC#4 CP1B Temp Ctrl SP, DegC
PPO:AC4_1C:TIC7203-MODE, AC#4 CP1C Temp Ctrl Mode,  
PPO:AC4_1C:TIC7203-OP, AC#4 CP1C Temp Ctrl Output, %
PPO:AC4_1C:TIC7203-SP, AC#4 CP1C Temp Ctrl SP, DegC
PPO:AC4_2:TIC7204-MODE, AC#4 CP2 Temp Ctrl Mode,  
PPO:AC4_2:TIC7204-OP, AC#4 CP2 Temp Ctrl Output, %
PPO:AC4_2:TIC7204-SP, AC#4 CP2 Temp Ctrl SP, DegC
PPO:AC4_3:TIC7205-MODE, AC#4 CP3 Temp Ctrl Mode,  
PPO:AC4_3:TIC7205-OP, AC#4 CP3 Temp Ctrl Output, %
PPO:AC4_3:TIC7205-SP, AC#4 CP3 Temp Ctrl SP, DegC
PPO:AC4_4:TIC7206-MODE, AC#4 CP4 Temp Ctrl Mode,  
PPO:AC4_4:TIC7206-OP, AC#4 CP4 Temp Ctrl Output, %
PPO:AC4_4:TIC7206-SP, AC#4 CP4 Temp Ctrl SP, DegC
PPO:AC4_5:TIC7207-MODE, AC#4 CP5 Temp Ctrl Mode,  
PPO:AC4_5:TIC7207-OP, AC#4 CP5 Temp Ctrl Output, %
PPO:AC4_5:TIC7207-SP, AC#4 CP5 Temp Ctrl SP, DegC
PPO:AC4_6:TIC7208-MODE, AC#4 CP6 Temp Ctrl Mode, DegC
PPO:AC4_6:TIC7208-OP, AC#4 CP6 Temp Ctrl Output, %
PPO:AC4_6:TIC7208-SP, AC#4 CP6 Temp Ctrl SP, DegC
PPO:AC4_1A:TIC7201-ROC, AC#4 CP1A Temp. ROC, 
PPO:AC4_1B:TIC7202-ROC, AC#4 CP1B Temp. ROC, 
PPO:AC4_1C:TIC7203-ROC, AC#4 CP1C Temp. ROC, 
PPO:AC4_2:TIC7204-ROC, AC#4 CP2 Temp. ROC, 
PPO:AC4_3:TIC7205-ROC, AC#4 CP3 Temp. ROC, 
PPO:AC4_4:TIC7206-ROC, AC#4 CP4 Temp. ROC, 
PPO:AC4_5:TIC7207-ROC, AC#4 CP5 Temp. ROC, 
PPO:AC4_6:TIC7208-ROC, AC#4 CP6 Temp. ROC, 
PPO:AC2004:AVEG-TEMP, AC2004 Average Temperature, DegC
PPO:AC4_1A:TIC7201_ROC, AC-4 Comp. 1A Temp. ROC, 
PPO:AC4_1B:TIC7202_ROC, AC-4 Comp. 1B Temp. ROC, 
PPO:AC4_1C:TIC7203_ROC, AC-4 Comp. 1C Temp. ROC, 
PPO:AC4_2:TIC7204_ROC, AC-4 Comp. 2 Temp. ROC, 
PPO:AC4_3:TIC7205_ROC, AC-4 Comp. 3 Temp. ROC, 
PPO:AC4_4:TIC7206_ROC, AC-4 Comp. 4 Temp. ROC, 
PPO:AC4_5:TIC7207_ROC, AC-4 Comp. 5 Temp. ROC, 
PPO:AC4_6:TIC7208_ROC, AC-4 Comp. 6 Temp. ROC, 
PPO:AC2004:PIC7065A-MODE, AC#4 Press Ctrl Mode,  
PPO:AC2004:PIC7065A-OP, AC#4 Press Ctrl Output, %
